X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,strain_xx,strain_yy,strain_xy,magnitude
1.3636364,3.070707,-0.0029057004,-0.015216529,-64.37942,-70.16295,-62.633404,-0.0020814477,-0.0025826877,-0.010856456,0.015491477
1.3636364,3.1111112,-0.002800785,-0.015316024,-65.77106,-66.77358,-62.254555,-0.0022539976,-0.0023408835,-0.0107907895,0.015570004
1.3636364,3.1515152,-0.0026788749,-0.015405543,-67.05905,-63.184612,-61.62109,-0.0024254494,-0.0020896646,-0.010680988,0.015636723
1.3636364,3.191919,-0.0025385916,-0.01548478,-68.203094,-59.403427,-60.705154,-0.0025931648,-0.0018305277,-0.010522227,0.01569149
1.3636364,3.2323232,-0.0023784414,-0.015553407,-69.15314,-55.441795,-59.480015,-0.0027538037,-0.0015654872,-0.010309869,0.015734212
1.3636364,3.2727273,-0.0021967925,-0.015611231,-69.849915,-51.317005,-57.921463,-0.0029033197,-0.0012971337,-0.01003972,0.01576504
1.3636364,3.3131313,-0.0019920953,-0.015658207,-70.22452,-47.051006,-56.00863,-0.0030369612,-0.0010285904,-0.009708162,0.01578442
1.3636364,3.3535354,-0.001762636,-0.015694402,-70.20065,-42.67063,-53.725254,-0.0031494035,-0.00076346786,-0.009312377,0.015793072
1.3636364,3.3939395,-0.0015069768,-0.015720047,-69.69549,-38.207417,-51.060246,-0.0032348004,-0.00050583365,-0.008850442,0.015792113
1.3636364,3.4343433,-0.0012234114,-0.015735433,-68.62157,-33.698864,-48.009186,-0.0032868716,-0.00026023676,-0.008321593,0.01578292
1.3636364,3.4747474,-0.00091054663,-0.015741244,-66.88747,-29.18997,-44.576077,-0.0032989003,-3.1784115e-05,-0.0077265194,0.015767556
1.3636364,3.5151515,-0.0005670339,-0.015738301,-64.39765,-24.736118,-40.77551,-0.003263652,0.00017368139,-0.007067755,0.015748512
1.3636364,3.5555556,-0.0001916103,-0.015727647,-61.053432,-20.406279,-36.636402,-0.0031733455,0.00034940863,-0.0063503096,0.015728815
1.3636364,3.5959597,0.00021658838,-0.0157106,-56.752907,-16.280697,-32.204712,-0.0030197115,0.00048787985,-0.00558215,0.015712094
1.3636364,3.6363637,0.00065814704,-0.015688822,-51.39202,-12.442918,-27.548447,-0.0027942671,0.00058132247,-0.004775064,0.01570262
1.3636364,3.6767676,0.0011329427,-0.015664317,-44.87012,-8.973328,-22.765835,-0.0024888143,0.0006222414,-0.003946078,0.015705233
1.3636364,3.7171717,0.0016404204,-0.015639365,-37.11947,-5.9937525,-18.009996,-0.0020960772,0.0006014854,-0.0031217327,0.015725162
1.3636364,3.7575758,0.0021786392,-0.0156167,-28.12173,-3.6449568,-13.516179,-0.0016112828,0.00051003764,-0.0023428043,0.015767936
1.3636364,3.7979798,0.0027445517,-0.015598781,-17.756676,-1.599156,-9.392642,-0.0010356604,0.00036465816,-0.001628058,0.015838388
1.3636364,3.838384,0.0033356063,-0.015588395,-6.2381816,-0.41645837,-5.6036677,-0.0003676218,0.0001369276,-0.0009713024,0.015941277
